b/h,b/s,b/v,s/h,s/s,s/v
200,57,52,222,45,31
187,75,58,198,68,39
240,12,27,244,31,27
23,18,100,1,48,75
16,24,98,343,18,68
346,71,85,342,64,67
257,22,25,230,13,18
16,13,80,231,13,43
15,18,93,287,10,58
250,19,51,251,19,35
251,42,51,236,37,28
23,19,100,1,42,98
96,4,97,223,13,75
222,16,81,211,46,52
229,14,91,241,21,78
206,31,43,219,62,36
355,16,98,229,18,59
353,33,95,285,36,55
339,22,58,319,35,40
15,14,98,346,49,65
109,7,95,245,14,66
232,26,22,240,30,11
209,15,73,242,29,46
231,38,36,239,55,32
232,26,22,240,31,10
191,36,66,228,27,44
354,38,88,326,34,57
0,0,91,247,15,87
21,5,100,334,16,56
350,51,93,310,29,55
199,45,61,231,31,53
16,10,100,342,36,75
196,23,18,250,21,11
24,17,99,344,40,63
73,9,100,206,16,63
240,52,55,238,38,33
208,19,27,256,29,20
27,17,100,293,11,63
231,25,22,240,29,16
66,13,97,11,19,84
11,26,100,314,17,51
4,44,93,343,37,49
248,50,52,243,44,32
253,73,69,253,72,38
128,11,85,237,14,60
9,18,100,5,40,96
0,0,40,232,27,22
16,29,100,6,39,96
2,26,100,352,49,89
356,58,94,340,43,58
16,23,100,360,39,94
106,7,96,217,11,77
359,27,72,326,36,48
199,81,62,200,83,46
354,18,71,325,17,51
255,29,32,244,29,22
19,11,99,265,24,63
244,7,89,265,24,63
256,17,35,240,33,33
342,72,80,334,72,55
6,13,96,3,34,95
5,27,96,329,26,67
18,15,100,1,43,85
352,57,94,337,61,63
183,40,69,213,50,58
114,8,93,243,20,71
249,18,42,251,17,25
23,22,100,354,43,96
17,15,100,332,26,66
345,55,67,335,50,40
97,10,98,189,35,67
76,6,100,274,13,76
19,11,100,344,35,64
342,73,76,296,44,41
107,7,100,242,21,64
226,43,62,236,54,42
346,23,73,315,43,52
54,18,83,187,6,58
27,15,99,276,6,69
243,30,26,249,33,16
11,46,89,352,63,82
342,74,75,341,75,55
243,30,24,249,34,16
19,19,96,350,42,77
143,7,89,237,12,71
156,13,95,22,18,59
249,61,74,244,51,35
240,46,29,243,39,18
20,14,100,11,33,100
44,32,65,86,6,47
254,72,66,242,70,44
12,29,100,296,16,71
274,26,38,276,29,27
355,27,75,277,35,40
277,11,83,249,24,53
281,18,35,260,14,26
237,19,44,254,19,35
24,24,100,12,35,94
260,26,36,250,11,22
45,6,98,270,6,78
23,19,100,12,33,97
358,48,100,347,64,84
112,11,100,253,15,75
249,15,48,254,35,19
3,32,100,291,16,48
167,23,86,188,59,45
62,35,84,60,14,35
338,83,88,337,90,57
10,23,100,249,15,48
152,14,96,210,13,71
354,9,92,210,12,68
13,21,100,355,42,95
205,16,30,232,29,20
354,9,92,250,15,64
253,89,78,253,81,52
8,20,100,261,9,73
147,11,94,229,22,77
228,26,37,228,38,25
250,12,20,250,17,14
199,59,64,216,62,53
213,67,32,231,92,15
28,22,100,354,35,89
63,7,100,329,20,71
255,56,22,244,100,6
