b/h,b/s,b/v,h/h,h/s,h/v
200,57,52,166,36,89
251,42,51,149,18,93
222,16,81,191,9,96
339,22,58,15,14,98
209,15,73,133,10,91
191,36,66,169,10,84
354,38,88,357,15,96
350,51,93,360,19,100
199,45,61,151,18,89
196,23,18,99,18,93
208,19,27,250,24,100
248,50,52,248,21,82
16,29,100,17,15,100
255,29,32,242,19,65
256,17,35,235,19,78
342,72,80,357,53,89
249,18,42,272,12,50
23,22,100,15,13,100
243,30,26,241,21,78
11,46,89,83,18,94
240,46,29,188,21,87
355,27,75,277,11,83
281,18,35,316,16,55
152,14,96,164,9,98
205,16,30,235,20,76
147,11,94,137,8,100
213,67,32,63,7,100
348,63,100,355,15,100
212,17,91,217,11,99
257,46,64,321,22,79
183,26,55,14,24,96
97,5,96,60,5,100
15,31,99,10,12,100
165,18,92,131,7,95
348,68,98,249,11,96
120,4,91,99,7,100
170,5,91,93,4,96
358,28,100,30,8,100
150,2,34,247,14,87
24,59,69,27,37,91
21,21,100,19,11,100
8,22,99,8,14,100
341,88,82,351,63,88
39,35,94,59,27,100
74,64,78,70,31,92
250,47,56,263,24,72
83,51,75,74,29,89
352,36,97,356,19,100
26,35,94,26,15,100
20,29,100,21,13,100
249,7,78,210,9,90
18,37,98,21,12,95
360,6,76,255,5,95
230,12,20,231,7,41
41,17,100,77,8,100
232,24,36,169,8,82
200,86,53,173,16,85
201,86,44,190,44,61
198,45,55,152,11,90
90,5,96,90,2,100
236,49,73,230,24,82
205,69,44,167,14,92
186,19,79,73,4,100
18,25,96,27,17,100
333,21,57,237,9,84
220,37,43,270,1,77
314,15,74,261,21,100
4,18,92,19,10,100
255,29,80,328,16,96
214,24,69,252,18,100
66,85,67,31,10,92
249,13,42,235,14,65
0,0,73,33,7,96
10,5,87,75,12,100
247,25,65,248,17,100
237,11,82,222,8,88
48,18,66,71,26,96
0,0,67,240,13,70
276,14,28,277,33,86
191,49,55,187,5,75
250,22,41,251,38,82
347,15,84,182,13,97
310,37,64,252,19,82
349,51,93,314,32,98
313,34,53,332,35,85
355,22,89,75,19,99
268,15,75,246,28,95
329,13,75,314,13,97
327,14,73,344,11,96
340,29,36,268,18,84
223,34,70,187,15,88
350,41,78,338,27,97
342,65,74,273,25,81
185,12,71,188,11,87
194,49,62,183,37,80
223,35,39,229,16,53
23,35,100,19,21,99
353,22,100,2,13,99
4,20,93,8,14,100
232,37,23,248,14,80
342,62,83,257,16,97
342,67,83,284,31,100
335,94,74,258,22,84
249,25,30,226,17,79
7,16,80,10,10,87
223,14,69,225,8,79
326,30,55,263,19,80
262,26,45,265,31,100
2,33,100,330,14,100
257,55,89,248,31,100
228,2,86,120,4,97
2,52,89,341,34,100
28,33,100,40,18,100
42,10,79,43,11,93
18,13,100,19,7,100
273,24,75,209,13,96
231,25,22,236,14,49
68,53,77,66,26,92
209,26,61,176,15,78
346,31,91,5,22,98
335,63,63,340,40,82
176,9,64,180,7,78
256,8,57,238,11,93
257,11,51,158,6,78
358,13,96,358,10,100
278,15,93,312,8,100
3,9,90,3,9,99
358,60,81,317,36,99
343,24,80,272,35,100
147,13,60,69,6,86
248,45,57,248,29,76
347,23,98,63,15,97
262,26,45,266,30,98
249,13,64,237,10,88
342,22,63,266,16,99
210,22,56,241,16,100
